filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
001001.mp3,0.23734425,1496.353968,1955.472962,3074.336965,0.06886482,0.052314624,Yaser_Salamah,Al-Anbiaa,17
021001.mp3,0.21014495,1133.404923,1240.714876,2415.083313,0.11379765,0.047306941,Yaser_Salamah,Al-Anbiaa,17
021002.mp3,0.20460251,1100.977598,1222.331639,2328.075325,0.120511934,0.044240727,Yaser_Salamah,Al-Anbiaa,17
021003.mp3,0.21025889,1152.597594,1232.202122,2426.279922,0.11993609,0.050840201,Yaser_Salamah,Al-Anbiaa,17
021004.mp3,0.20757075,1321.759606,1367.409208,2743.887464,0.12935857,0.061041638,Yaser_Salamah,Al-Anbiaa,17
021005.mp3,0.21942715,1184.957357,1252.940421,2475.796852,0.12769958,0.049716949,Yaser_Salamah,Al-Anbiaa,17
021006.mp3,0.20654866,1112.884012,1226.889828,2371.835738,0.13262573,0.044302133,Yaser_Salamah,Al-Anbiaa,17
021007.mp3,0.20289502,1156.173511,1226.430611,2411.52903,0.13386908,0.047991379,Yaser_Salamah,Al-Anbiaa,17
021008.mp3,0.21586399,1231.884242,1257.399498,2446.475548,0.13672,0.052641727,Yaser_Salamah,Al-Anbiaa,17
021009.mp3,0.20712003,1213.787698,1248.366084,2456.461922,0.11530201,0.056430104,Yaser_Salamah,Al-Anbiaa,17
021010.mp3,0.20857215,1178.054213,1277.555022,2426.044741,0.09856625,0.04785457,Yaser_Salamah,Al-Anbiaa,17
021011.mp3,0.21640594,1213.139474,1266.291082,2501.681293,0.124023005,0.05231737,Yaser_Salamah,Al-Anbiaa,17
021012.mp3,0.2260395,1324.154307,1304.296802,2646.80723,0.124723256,0.065175926,Yaser_Salamah,Al-Anbiaa,17
021013.mp3,0.21945047,1291.687806,1317.002926,2653.884465,0.12518735,0.058226734,Yaser_Salamah,Al-Anbiaa,17
021014.mp3,0.18911277,1082.009139,1177.281277,2329.022087,0.13944766,0.044248077,Yaser_Salamah,Al-Anbiaa,17
021015.mp3,0.23457414,1292.630402,1321.439682,2642.325712,0.12868506,0.059671197,Yaser_Salamah,Al-Anbiaa,17
021016.mp3,0.24622118,1390.002671,1347.706415,2720.755433,0.1285778,0.076236903,Yaser_Salamah,Al-Anbiaa,17
